Title,type,country,date_added,release_year,rating,duration,description,IMDb,Genre,Avg Rating per Genre,Growth Outcome
Lommbock,Movie,Germany,2018-11-09,2017,TV-MA,106 min,"After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things.",6.8,Comedy,6.34,0
London Spy,TV Show,United Kingdom,2017-03-31,2015,TV-MA,1 Season,"When his reclusive-banker lover disappears, a hard-partying young British hedonist plunges into the dangerous world of espionage to find the truth.",7.5,Crime,7.41,1
Long Shot,Movie,United States,2017-09-29,2017,TV-14,40 min,"When Juan Catalan is arrested for a murder he didn't commit, he builds his case for innocence around raw footage from a popular TV show. A documentary.",7.4,Documentaries,7.03,0
Long Time Running,Movie,Canada,2017-11-12,2017,TV-14,96 min,This documentary follows the 2016 tour of beloved rock band The Tragically Hip as they make their way across Canada one last time.,7.8,Documentaries,7.03,0
Longmire,TV Show,United States,2017-11-17,2017,TV-MA,6 Seasons,This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife.,8.3,Crime,7.41,1
Look for a Star,Movie,Hong Kong,2018-12-01,2009,TV-14,117 min,"While keeping his identity secret, a real estate billionaire tries to woo an outspoken croupier who talks gamblers out of losing their money.",5.6,Comedy,6.34,0
Look Who's Back,Movie,Germany,2016-04-09,2015,NR,116 min,"When Adolf Hitler reawakens at the site of his former bunker 70 years later, he's mistaken for a brilliant comedian and becomes a media phenomenon.",7.1,Comedy,6.34,0
Los Tigres del Norte at Folsom Prison,Movie,United States,2019-09-15,2019,TV-PG,64 min,The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert.,6.9,Documentaries,7.03,0
Lost & Found Music Studios,TV Show,Canada,2016-12-03,2016,TV-G,2 Seasons,"Teen singers-songwriters in an elite music program form bonds of friendship, creativity and romance while turning their passion into their profession.",6.7,Comedy,6.34,0
Lost Girl,TV Show,Canada,2016-04-17,2015,TV-14,5 Seasons,"Discovering she's a succubus who sustains herself by feeding on the sexual energy of humans, seductive Bo sets out on a journey to understand herself.",7.7,Drama,6.57,0
Lost Girls,Movie,United States,2020-03-13,2020,R,95 min,"Desperate to find her missing daughter, a mother fights to uncover the truth — and helps expose a string of unsolved murders. Based on a true story.",6.1,Drama,6.57,0
Lost in London,Movie,Nigeria,2019-12-21,2017,TV-PG,86 min,"Nigerian students Okon and Bona experience culture shock – several shocks, really – after being selected for an exchange program in London.",6.2,Comedy,6.34,0
Lost in Space,TV Show,United States,2019-12-24,2019,TV-PG,2 Seasons,"After crash-landing on an alien planet, the Robinson family fights against all odds to survive and escape. But they're surrounded by hidden dangers.",7.3,Drama,6.57,0
Love,TV Show,United States,2018-03-09,2018,TV-MA,3 Seasons,Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships in this bold comedy co-created by Judd Apatow.,7.7,Comedy,6.34,0
Love 101,TV Show,Turkey,2020-04-24,2020,TV-MA,1 Season,"While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves.",7.7,Drama,6.57,0
Love Aaj Kal,Movie,India,2020-04-27,2020,TV-MA,140 min,"When professional ambitions clash with personal feelings for a modern-day couple, a love story from a bygone decade may offer some wisdom.",5.2,Drama,6.57,0
Love Alarm,TV Show,South Korea,2019-08-22,2019,TV-MA,1 Season,"In a world where an app alerts people if someone in the vicinity likes them, Kim Jojo experiences young love while coping with personal adversities.",6.7,Romance,7.08,0
Love and Fortune,TV Show,Japan,2018-11-30,2018,TV-MA,1 Season,"Frustrated by life with her boyfriend, thirty-something Wako can’t stop herself from being interested in high schooler Yumeaki, despite their age gap.",7.5,Drama,6.57,0
Love and Shukla,Movie,India,2018-09-01,2017,TV-MA,110 min,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.",7.3,Drama,6.57,0
Love Beats Rhymes,Movie,United States,2018-03-01,2016,R,106 min,"After enrolling in a college poetry course, a struggling rapper finds inspiration for her new voice through slam poetry.",5.3,Drama,6.57,0
Love Cuisine,TV Show,Taiwan,2016-08-01,2015,TV-MA,1 Season,A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.,8.1,Comedy,6.34,0
Love Dot Com: The Social Experiment,Movie,United States,2020-02-17,2019,TV-MA,98 min,"Sparks fly and romance blooms when Shelby, a vegan chef, meets Greg, a developer – until their opposing views clash.",4.2,Comedy,6.34,0
Love for Sale,Movie,Indonesia,2019-10-06,2018,TV-14,101 min,"Richard accepts a bet that he can't find a companion to a friend's wedding, not knowing the dating app he's using includes a 45-day contract.",7.4,Drama,6.57,0
Love for Sale 2,Movie,Indonesia,2020-02-10,2019,TV-14,96 min,"Exhausted with his mother’s failed attempts at setting him up with women, Ican hires an ideal partner from a matchmaking app.",6.9,Drama,6.57,0
Love for Ten: Generation of Youth,TV Show,South Korea,2017-02-17,2013,TV-14,1 Season,"A nerdy engineering student falls for a pretty, outgoing girl at his college. To get closer to her, he joins the theater group she belongs to.",6.4,Romance,7.08,0
Love Is a Story,Movie,Romania,2019-06-01,2015,TV-MA,105 min,"Two young artists, a violin player and an actress, fight to achieve their dreams and keep their relationship together during Christmastime.",6.1,Romance,7.08,0
Love Is War,Movie,Nigeria,2020-04-29,2019,TV-14,111 min,An adoring couple elects to test the strength of their marriage when they run against each other for the office of state governor.,7.2,Comedy,6.34,0
Love Ni Bhavai,Movie,India,2018-05-01,2017,TV-14,163 min,"Not romantically inclined, a popular radio personality finds herself caught between two diametrically opposed suitors.",8.4,Comedy,6.34,0
Love O2O,Movie,China,2019-04-01,2016,TV-14,103 min,A college stud tries to level up his relationship with a computer science major after becoming attracted to her skills in an online role-playing game.,8.0,Romance,7.08,0
Love Off the Cuff,Movie,"China, Hong Kong",2019-01-31,2017,TV-MA,120 min,Cherie and Jimmy's relationship is in a rut – until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.,6.5,Comedy,6.34,0
Love on Delivery,Movie,Hong Kong,2018-08-16,1994,TV-14,93 min,"To prove himself to a love interest, a delivery boy learns dubious kung fu from an aging charlatan so he can challenge his archrival to a fight.",6.9,Comedy,6.34,0
Love Rain,TV Show,South Korea,2018-05-01,2012,TV-PG,1 Season,"A story of two couples' journey of new love, loss and unexpected reunion spans decades, from the 1970s through present day.",7.7,Romance,7.08,0
Love Wedding Repeat,Movie,"United Kingdom, Italy",2020-04-10,2020,TV-MA,101 min,"Different versions of the same day unfold as Jack juggles difficult guests, unbridled chaos and potential romance at his sister's wedding.",5.5,Comedy,6.34,0
Love Your Garden,TV Show,United Kingdom,2019-07-26,2013,TV-G,1 Season,Famed horticulturist Alan Titchmarsh hosts this uplifting show in which he and his team travel the U.K. planting dream gardens for deserving citizens.,8.0,Reality,6.48,0
"Love, Death & Robots",TV Show,United States,2019-03-15,2019,TV-MA,1 Season,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.",8.5,Horror,5.52,0
"Love, Rosie",Movie,"Germany, United Kingdom",2019-11-20,2014,R,103 min,"Over the years, as they come and go in each other's life, childhood pals Rosie and Alex struggle to resolve the lasting, intimate bond between them.",7.2,Comedy,6.34,0
"Love, Surreal and Odd",Movie,Turkey,2019-10-18,2017,TV-14,95 min,"When a group of people meets at the same party, they form four different relationships, each experiencing similar phases of love.",5.7,Comedy,6.34,0
Lovesong,Movie,United States,2017-05-15,2016,TV-MA,84 min,"Best friends Sarah and Mindy share an unexpected moment while on a road trip. Years later, the two struggle to reconnect before a wedding.",6.3,Drama,6.57,0
Loving,Movie,"United Kingdom, United States",2020-11-16,2016,PG-13,124 min,A young couple's interracial marriage in 1958 sparks a case that leads to the Supreme Court. Based on the true story of Richard and Mildred Loving.,5.3,Drama,6.57,0
Loving Annabelle,Movie,United States,2018-07-01,2006,TV-MA,77 min,An esteemed young poetry teacher at a Catholic boarding school risks everything when she engages in a feverish affair with a female student.,6.3,Drama,6.57,0
Loving is Losing,Movie,Colombia,2019-04-26,2019,TV-MA,91 min,"When a newly single photographer is forced to work with a longtime rival, the battle of their egos turns into a chance for love.",5.2,Comedy,6.34,0
Loving You,Movie,Hong Kong,2018-08-16,1995,TV-14,79 min,"Struggling in a loveless marriage, a hard-drinking, workaholic cop finds a chance at redemption after a fateful incident leaves him wounded.",6.5,Drama,6.57,0
Lu Over the Wall,Movie,Japan,2020-03-18,2017,PG,113 min,Middle schooler Kai's depressing life in a boring fishing village changes drastically when a local mermaid named Lu joins his band.,6.8,Sci-Fi & Fantasy,5.82,0
Lucas Brothers: On Drugs,Movie,United States,2017-04-18,2017,TV-MA,50 min,"Deadpan twin comics Keith and Kenny Lucas take the stage in Brooklyn with a set that touches on drugs, race, Deion Sanders, teachers and O.J. Simpson.",5.5,Comedy,6.34,0
Lucha: Playing the Impossible,Movie,Argentina,2018-07-15,2016,TV-PG,98 min,"Known simply as ""Lucha,"" field hockey player Luciana Aymar shares her tumultuous and triumphant journey to become the best in the world.",7.2,Documentaries,7.03,0
Luciano Mellera: Infantiloide,Movie,Argentina,2018-07-06,2018,TV-14,66 min,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,8.6,Comedy,6.34,0
Lucid Dream,Movie,South Korea,2017-06-02,2017,TV-MA,102 min,"After searching for his abducted son for three years, a devastated father attempts to track down his missing child through lucid dreams.",6.1,Sci-Fi & Fantasy,5.82,0
Lucifer,TV Show,United States,2020-08-21,2020,TV-14,5 Seasons,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",8.2,Crime,7.41,1
Luck by Chance,Movie,India,2019-12-15,2009,TV-14,156 min,"When Vikram gets tapped to play the male lead in a Bollywood film, he can't believe his luck. But it may ruin his relationship with his girlfriend.",7.0,Drama,6.57,0
Luckee,Movie,India,2019-06-15,2019,TV-14,113 min,"When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones.",4.2,Comedy,6.34,0
Lucknow Central,Movie,India,2017-10-16,2017,TV-14,144 min,"After being arrested for a crime he didn't commit, an aspiring musician teams up with some of his inmates at Lucknow Central to form a band.",6.2,Drama,6.57,0
Lucky: No Time for Love,Movie,India,2017-11-15,2005,TV-14,131 min,"During an uprising in Russia's St. Petersburg, teen girl Lucky meets handsome Aditya, the Indian ambassador's son, and together they flee the chaos.",4.7,Drama,6.57,0
Ludo,Movie,India,2020-11-12,2020,TV-MA,150 min,"From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal.",2.8,Comedy,6.34,0
Luka Chuppi,Movie,India,2019-06-07,2019,TV-PG,125 min,"Pretending to marry in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",6.3,Comedy,6.34,0
Luna Nera,TV Show,Italy,2020-01-31,2020,TV-MA,1 Season,"In 17th-century Italy, a teenager learns about her destiny among a family of witches, just as her boyfriend's father hunts her down for witchcraft.",5.5,Drama,6.57,0
Luna Petunia,TV Show,United States,2017-11-17,2017,TV-Y,3 Seasons,"With help from her magic toy chest, fun-loving Luna Petunia enters the fantastic land of Amazia, where adventures, friendship and learning await.",6.4,Children,6.47,0
Lunatics,TV Show,Australia,2019-04-19,2019,TV-MA,1 Season,This mockumentary series follows the peculiar lives of six eccentric – and sometimes obscene – misfits who march to their own beat.,6.6,Comedy,6.34,0
Luo Bao Bei,TV Show,"China, United Kingdom",2019-08-31,2018,TV-Y,1 Season,"A bright and spirited seven-year-old girl uses her vivid, dreamlike imagination to navigate everyday adventures alongside her real and imaginary BFFs.",7.2,Children,6.47,0
Lupt,Movie,India,2019-04-05,2018,TV-14,110 min,"Haunted by disturbing visions, a workaholic takes a vacation with his family, but a detour leads them to an unsettling stranger and chilling events.",7.3,Horror,5.52,0
Lusers,Movie,"Argentina, Chile, Peru",2016-07-15,2015,TV-MA,100 min,Three men from different nations must find their way out of the Amazon jungle – on foot – when they get lost on the way to Brazil's World Cup Final.,4.8,Comedy,6.34,0
Lust Stories,Movie,India,2018-06-15,2018,TV-MA,121 min,"In the companion to 2013's ""Bombay Talkies,"" four short films by four of India's biggest directors explore love, sex and relationships in modern India.",6.5,Comedy,6.34,0
Luv Shuv Tey Chicken Khurana,Movie,India,2018-10-01,2012,TV-14,129 min,"Fleeing London to evade a gangland debt collector, Omi Khurana returns to his native village in India, passing himself off as a successful lawyer.",6.6,Comedy,6.34,0
Lynne Koplitz: Hormonal Beast,Movie,United States,2017-08-22,2017,TV-MA,51 min,"Unabashed comedian Lynne Koplitz offers a woman's take on being crazy, the benefits of childlessness and the three things all men really want.",6.1,Comedy,6.34,0
Ma Chu Ka,Movie,India,2018-07-01,2017,TV-14,117 min,The relationship between a journalist and a lawyer she meets while investigating a story grows complicated as she uncovers layers of deception.,6.1,Thrillers,5.85,0
Maacher Jhol,Movie,"India, France",2018-01-01,2017,TV-PG,107 min,"On his first visit to his home city of Kolkata in 13 years, a Paris-based chef is faced with a cooking challenge that will change his life forever.",7.0,Drama,6.57,0
Mac & Devin Go to High School,Movie,United States,2016-04-20,2012,R,76 min,"Devin Overstreet may be the class valedictorian, but he hasn't had much life experience. Enter Mac Johnson, a 10th-year senior and weed dealer.",4.4,Comedy,6.34,0
Macho,Movie,Mexico,2017-04-12,2016,TV-MA,101 min,A famous designer who's always pretended to be gay finds himself in crisis mode when threatened with exposure as the woman-chasing straight guy he is.,4.3,Comedy,6.34,0
Mad Men,TV Show,United States,2015-03-22,2014,TV-14,7 Seasons,"Set in 1960s New York City, this award-winning series takes a peek inside an ad agency during an era when the cutthroat business had a glamorous lure.",8.6,Drama,6.57,0
Mad Ron's Prevues from Hell,Movie,United States,2010-11-01,1987,NR,84 min,"This collection cherry-picks trailers, forgotten scenes and poster art from 47 gory oldies, including Bay of Blood and The Blood Spattered Bride.",6.1,Horror,5.52,0
Mad World,Movie,Hong Kong,2018-09-20,2016,TV-MA,102 min,"A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat, where old resentments bubble to the surface.",7.3,Drama,6.57,0
Madagascar: Escape 2 Africa,Movie,United States,2020-05-01,2008,PG,91 min,"A botched rescue strands Alex the lion and his companions in Africa. Sadly, Alex discovers he has little in common with the locals.",6.6,Comedy,6.34,0
Madam Secretary,TV Show,United States,2020-05-15,2019,TV-PG,6 Seasons,"When a highly capable woman becomes secretary of state, she struggles to find balance between the demands of world politics and those of her family.",7.6,Drama,6.57,0
Maddman: The Steve Madden Story,Movie,United States,2018-01-01,2017,TV-MA,78 min,This documentary chronicles the rise of the footwear designer behind a billion-dollar empire and his subsequent comeback after a financial scandal.,6.5,Documentaries,7.03,0
Made in China,Movie,India,2020-01-12,2019,TV-MA,128 min,"After a trip to China, a struggling entrepreneur returns to India as the supplier of an illegal aphrodisiac — but all he ends up stimulating is chaos.",5.7,Comedy,6.34,0
Made in Mexico,TV Show,United States,2018-09-28,2018,TV-MA,1 Season,"These Mexico City socialites may lead opulent lives, but a peek behind the curtain reveals a tangled web of intrigue, envy and personal struggles.",4.0,Reality,6.48,0
Magi: Adventure of Sinbad,TV Show,Japan,2016-07-14,2016,TV-14,1 Season,The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.,7.6,Anime,7.67,1
Magic for Humans,TV Show,United States,2020-05-15,2020,TV-14,3 Seasons,"From baffling people on the street to orchestrating elaborate tricks, Justin Willman blends good-natured magic with grown-up laughs.",7.1,Comedy,6.34,0
Magnolia,Movie,United States,2020-01-01,1999,R,189 min,"Through chance, human action, past history and divine intervention, an eclectic cast of characters weaves and warps through each other's lives.",8.0,Drama,6.57,0
Mahabharat,Movie,India,2018-08-01,2013,TV-14,119 min,Two young brothers encounter a singing bird who treats them to a musical reinterpretation of one of India’s most epic ancient tales.,5.5,Drama,6.57,0
Maharakshak Devi,TV Show,India,2017-04-15,2015,TV-14,1 Season,"After years spent in isolation, a young girl with extraordinary powers returns to human society to battle dark, mythological beings.",6.4,Action & Adventure,6.14,0
Mahi Way,TV Show,India,2018-03-01,2010,TV-14,1 Season,"Though worried she's doomed to be single forever, Mahi embraces her vivacious and creative nature while working to tame her inner critic.",7.8,Comedy,6.34,0
Mahjong Heroes,Movie,Hong Kong,2018-08-16,1981,TV-PG,92 min,"In this comedy, characters from all walks of life go head-to-head around the mahjong table in a high-stakes contest of different playing styles.",5.3,Comedy,6.34,0
Main Hoon Na,Movie,India,2018-04-01,2004,TV-14,171 min,Major Ram Prasad Sharma yearns to see project Mission Milaap come to fruition and usher in an era of peace between two warring countries. But the evil Raghavan will do anything to stop the peace process.,7.0,Comedy,6.34,0
Making a Murderer,TV Show,United States,2018-10-19,2018,TV-14,2 Seasons,"Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime.",8.6,Crime,7.41,1
Maktub,Movie,Israel,2018-06-15,2018,TV-MA,106 min,"After surviving a bomb attack, two low-level mobsters in Jerusalem change their ways and set about making strangers' Wailing Wall prayers come true.",7.5,Comedy,6.34,0
Mala Kahich Problem Nahi,Movie,India,2018-11-15,2017,TV-PG,132 min,"With their relationship running on autopilot, a discontent husband and wife must confront their issues while on a trip with the extended family.",7.2,Drama,6.57,0
Malaal,Movie,India,2019-09-26,2019,TV-14,133 min,"Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new, North Indian resident of his chawl.",5.9,Drama,6.57,0
Malena Pichot: Estupidez compleja,Movie,Argentina,2018-03-02,2018,TV-MA,51 min,"An Argentine comedian espouses the values of feminism, speaking on topics like sex, language, abortion and why it's OK to let a man buy you dinner.",5.4,Comedy,6.34,0
Malevolent,Movie,United Kingdom,2018-10-05,2018,TV-MA,89 min,"A brother-sister team who fake paranormal encounters for cash get more than they bargained for when a job at a haunted estate turns very, very real.",4.8,Horror,5.52,0
Malibu Rescue: The Series,TV Show,United States,2019-06-03,2019,TV-G,1 Season,"On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs.",5.1,Comedy,6.34,0
Malicious,Movie,United States,2019-02-01,2018,TV-MA,91 min,"After receiving a strange present, a professor and his pregnant wife are plagued by tragedy and a paranormal presence that's determined to kill.",5.0,Horror,5.52,0
Man Down,TV Show,United Kingdom,2017-11-30,2017,TV-MA,4 Seasons,"A childish idiot trapped in an adult's body, schoolteacher Dan hates his job, hates his girlfriend-less life and has good reason to fear his dad.",7.6,Comedy,6.34,0
Man Like Mobeen,TV Show,United Kingdom,2020-04-01,2020,TV-MA,3 Seasons,"Mobeen is trying to be a good friend, follow the faith and raise his teenage sister. Yet his past – and everyday life – complicates matters.",7.9,Comedy,6.34,0
Man of Tai Chi,Movie,"United States, China, Hong Kong",2018-07-26,2013,R,105 min,"In this kung fu tale set in Beijing, a young man armed with incomparable martial arts skills gets embroiled in the world of underground fight clubs.",6.1,Drama,6.57,0
Man to Man,TV Show,South Korea,2017-06-10,2017,TV-14,1 Season,"Disguised as a bodyguard, a special agent must complete his national secret tasks while pandering to the whims of his ill-tempered world star.",7.4,Crime,7.41,1
Mandobasar Galpo,Movie,India,2018-04-01,2017,TV-14,103 min,"With the assistance of a psychiatrist, an acclaimed filmmaker struggles to come to terms with a mysterious romantic trauma.",6.0,Drama,6.57,0
Mango Dreams,Movie,United States,2018-03-15,2016,TV-14,92 min,"Concerned that dementia will soon steal his most cherished memories, a Hindu doctor hires a Mulsim rickshaw driver to take him to his childhood home.",7.8,Drama,6.57,0
Manhattan Romance,Movie,United States,2017-09-08,2014,TV-14,98 min,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,5.6,Comedy,6.34,0
Manhunt,Movie,"China, Hong Kong",2018-05-04,2017,TV-MA,109 min,A Chinese pharmaceutical lawyer framed for a vile crime teams up with a sharp-witted Japanese detective to stop a dangerous corporate plot.,8.1,Action & Adventure,6.14,0
Maniac,TV Show,United States,2018-09-21,2018,TV-MA,1 Season,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,7.8,Comedy,6.34,0
Maniac,TV Show,United States,2018-09-21,2018,TV-MA,1 Season,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.,7.0,Comedy,6.34,0
Manje Bistre,Movie,India,2018-10-01,2017,TV-14,136 min,"While prepping for a family wedding, a young man falls for his sister’s friend, who has already been promised to someone else.",6.6,Comedy,6.34,0
Manoranjan,Movie,India,2017-09-01,1974,TV-14,162 min,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",6.8,Comedy,6.34,0
Manson Family Vacation,Movie,United States,2015-10-27,2015,TV-MA,85 min,"The pleasant family life of an L.A. attorney is disrupted by the sudden arrival of his brother, who is obsessed with the Charles Manson murders.",5.8,Comedy,6.34,0
Manto,Movie,India,2018-11-30,2018,TV-MA,114 min,The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.,7.4,Drama,6.57,0
Mantostaan,Movie,India,2017-12-15,2017,TV-MA,75 min,Four stories by writer Sadaat Hasan Manto culminate in a single gruesome drama that's set during the partitioning of the Indian subcontinent.,6.2,Drama,6.57,0
Mantra,Movie,India,2017-12-15,2017,TV-14,89 min,An Indian business owner struggles to keep his company afloat amid global competition while trying to make up for lost time with his family.,5.2,Drama,6.57,0
Manu,Movie,India,2019-08-01,2018,TV-14,177 min,"The relationship between a painter and his admirer unfolds as an abstract, twist-filled hide-and-seek game against the backdrop of murder and revenge.",7.9,Drama,6.57,0
Manusangada,Movie,India,2019-02-02,2017,TV-14,93 min,"When caste discrimination prevents a villager from giving his deceased father a rightful burial, he takes his fight for equality to court.",8.4,Drama,6.57,0
Maps to the Stars,Movie,"Canada, Germany, France, United States",2018-12-16,2014,R,112 min,A showbiz family revolving around its teen celebrity son desperately tries to hang on to fame and success in this savage satire of Hollywood.,6.2,Comedy,6.34,0
Mara,Movie,United Kingdom,2019-01-05,2017,TV-MA,99 min,"When criminal psychologist Kate Fuller investigates a man who was seemingly murdered in his sleep by his wife, she uncovers a case like no other.",5.1,Horror,5.52,0
Maradona in Mexico,TV Show,"Argentina, United States, Mexico",2019-11-13,2020,TV-MA,1 Season,"In this docuseries, soccer great Diego Maradona comes to Culiacán, the heart of the Sinaloa Cartel, to save the local team, the Dorados, and maybe himself, too.",7.3,Documentaries,7.03,0
Marc Maron: End Times Fun,Movie,United States,2020-03-10,2020,TV-MA,71 min,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end-times fantasy.",6.8,Comedy,6.34,0
Marc Maron: Thinky Pain,Movie,United States,2018-11-01,2013,TV-MA,95 min,"Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend.",7.4,Comedy,6.34,0
Marc Maron: Too Real,Movie,United States,2017-09-05,2017,TV-MA,70 min,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",7.2,Comedy,6.34,0
Marcella,TV Show,United Kingdom,2020-06-14,2019,TV-MA,3 Seasons,"Her marriage just ended and she's returning to work as a London detective after 12 years away. Is the serial killer she once investigated back, too?",7.4,Crime,7.41,1
March Comes in Like a Lion,TV Show,Japan,2019-06-01,2017,TV-14,2 Seasons,"Orphaned young, a reclusive 17-year-old professional shogi player starts to come out of his shell when three sisters take him under their wing.",8.4,Teen,7.18,0
Marching Orders,TV Show,United States,2018-08-03,2018,TV-14,1 Season,"A top-ranked college marching band’s members fight to keep their spots, memorize routines, tend to their social lives – and slay the competition.",5.9,Documentaries,7.03,0
Marco Polo,TV Show,United States,2016-07-01,2016,TV-MA,2 Seasons,"Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court.",8.0,Drama,6.57,0
Maria,Movie,Philippines,2019-05-17,2019,TV-MA,90 min,"An ex-assassin tries to leave her dark past behind until a power-hungry gang targets her and her family, forcing her to summon her killer instincts.",5.0,Action & Adventure,6.14,0
Maria Bamford: Old Baby,Movie,United States,2017-05-02,2017,TV-MA,64 min,"Maria Bamford performs a rapid-fire, playful stand-up set for crowds at park benches, bowling alleys and LA theaters in this roving comedy special.",5.9,Comedy,6.34,0
Mariah Carey's Merriest Christmas,Movie,United States,2016-12-09,2015,TV-G,38 min,"Pop music superstar Mariah Carey hosts this all-star holiday celebration with special guests and a celebrity reading of ""The Night Before Christmas.""",4.9,Children,6.47,0
Marianne,TV Show,France,2019-09-13,2019,TV-MA,1 Season,"Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",7.5,Drama,6.57,0
Marlon,TV Show,United States,2019-06-14,2018,TV-14,2 Seasons,"After the friendliest divorce ever, a carefree but devoted father navigates post-split parenting life with his levelheaded ex-wife and two kids.",7.0,Comedy,6.34,0
Marlon Wayans: Woke-ish,Movie,United States,2018-02-27,2018,TV-MA,67 min,"Rollicking, outrageous and audacious, Marlon Wayans gets raw on racism, age-appropriate rap rhymes, gay rights, raising kids and even the Kardashians.",6.5,Comedy,6.34,0
Maroon,Movie,India,2017-02-01,2016,TV-MA,94 min,"When his wife goes missing, university professor Saurabh remains at home while the police investigate, but his grip on reality loosens as days pass.",5.1,Drama,6.57,0
Marriage Palace,Movie,India,2019-08-23,2018,TV-14,135 min,"After a young man charms the girl he loves into accepting his proposal, an accidental swap on their wedding day leads him to marry the wrong bride.",6.3,Comedy,6.34,0
Marriage Story,Movie,"United Kingdom, United States",2019-12-06,2019,R,137 min,Academy Award-nominated filmmaker Noah Baumbach directs this incisive and compassionate look at a marriage coming apart and a family staying together.,8.0,Drama,6.57,0
Mars,TV Show,United States,2019-11-01,2018,TV-PG,2 Seasons,Fact meets fiction in this docudrama chronicling the journey of a spacecraft crew as it embarks in 2033 on a mission to colonize the red planet.,7.5,Drama,6.57,0
Marseille,TV Show,France,2018-02-23,2018,TV-MA,2 Seasons,The longtime mayor of Marseille is preparing to hand over the reins to his protégé when a sudden and ruthless battle erupts for control of the city.,6.8,Drama,6.57,0
Martial Arts of Shaolin,Movie,"Hong Kong, China",2018-08-16,1986,R,90 min,"In ancient China, Zhi Ming trains at the legendary Northern Shaolin temple to avenge the death of his father at the hands of a nefarious magistrate.",6.6,Action & Adventure,6.14,0
Martin Lawrence Live: Runteldat,Movie,United States,2019-12-01,2002,R,104 min,"This provocative film sheds light on actor-comedian Martin Lawrence's roots, his rise to fame and his walk on the wild side.",5.4,Comedy,6.34,0
Marvel's Agents of S.H.I.E.L.D.,TV Show,United States,2020-10-30,2020,TV-14,7 Seasons,"Agent Phil Coulson, seen in action in Marvel's The Avengers, assembles a team of top S.H.I.E.L.D. agents to investigate bizarre threats.",7.5,Action & Adventure,6.14,0
Marvel's Daredevil,TV Show,United States,2018-10-19,2018,TV-MA,3 Seasons,"Blinded as a young boy, Matt Murdock fights injustice by day as a lawyer and by night as the Super Hero Daredevil in Hell's Kitchen, New York City.",8.6,Crime,7.41,1
Marvel's Iron Fist,TV Show,United States,2018-09-07,2018,TV-MA,2 Seasons,"Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny.",6.5,Crime,7.41,1
Marvel's Jessica Jones,TV Show,United States,2019-06-14,2019,TV-MA,3 Seasons,"Haunted by a traumatic past, Jessica Jones uses her gifts as a private eye to find her tormentor before he can harm anyone else in Hell's Kitchen.",8.0,Crime,7.41,1
